t # 11712
v 0 N
v 1 N
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 O
v 16 O
v 17 O
v 18 N
v 19 N
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 S
v 27 O
v 28 O
v 29 O
e 0 1 2
e 0 2 1
e 1 3 1
e 2 4 2
e 2 5 1
e 3 6 2
e 3 7 1
e 4 8 1
e 5 9 2
e 6 10 1
e 7 11 2
e 8 12 1
e 8 13 2
e 9 13 1
e 10 14 2
e 11 14 1
e 12 15 2
e 12 16 1
e 13 17 1
e 14 18 1
e 18 19 2
e 19 20 1
e 20 21 2
e 20 22 1
e 21 23 1
e 22 24 2
e 23 25 2
e 24 25 1
e 25 26 1
e 26 27 2
e 26 28 2
e 26 29 1
