t # 143437
v 0 O
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 N
v 7 O
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 N
v 18 C
v 19 C
v 20 O
v 21 C
v 22 O
v 23 C
v 24 O
v 25 O
v 26 C
v 27 N
v 28 C
v 29 C
v 30 O
v 31 O
v 32 C
v 33 C
v 34 C
v 35 C
v 36 C
v 37 C
v 38 C
v 39 C
v 40 C
v 41 C
v 42 C
v 43 C
v 44 O
v 45 C
v 46 C
v 47 C
v 48 C
v 49 C
v 50 C
v 51 C
v 52 O
v 53 C
v 54 O
v 55 C
v 56 C
v 57 C
v 58 C
v 59 C
v 60 C
v 61 O
v 62 O
e 0 1 1
e 0 2 1
e 1 3 1
e 2 4 2
e 2 5 1
e 3 6 1
e 3 7 2
e 4 8 1
e 4 9 1
e 5 10 2
e 6 11 1
e 6 12 1
e 8 13 2
e 8 14 1
e 9 15 2
e 9 16 1
e 10 15 1
e 10 17 1
e 11 18 1
e 12 19 1
e 13 20 1
e 13 21 1
e 14 22 2
e 14 23 1
e 15 24 1
e 16 21 2
e 16 25 1
e 17 26 1
e 18 27 1
e 20 23 1
e 21 28 1
e 23 29 1
e 23 30 1
e 26 31 2
e 26 32 1
e 27 33 1
e 27 34 1
e 30 35 1
e 32 36 1
e 32 37 2
e 33 38 1
e 34 39 1
e 35 40 2
e 37 41 1
e 40 42 1
e 41 43 2
e 42 44 1
e 42 45 1
e 43 46 1
e 44 47 1
e 45 48 1
e 45 49 1
e 46 50 1
e 46 51 1
e 49 52 1
e 49 53 1
e 51 54 1
e 51 55 1
e 52 56 1
e 53 57 1
e 53 58 1
e 55 58 1
e 55 59 1
e 56 60 1
e 56 61 2
e 58 62 1
