t # 165146
v 0 O
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 N
v 13 N
v 14 O
v 15 C
v 16 O
v 17 C
v 18 O
v 19 O
v 20 O
v 21 C
v 22 C
v 23 C
v 24 O
v 25 C
v 26 O
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
v 33 C
v 34 C
v 35 C
v 36 C
v 37 C
v 38 O
v 39 C
v 40 C
v 41 C
v 42 C
v 43 C
v 44 C
v 45 C
v 46 C
v 47 C
v 48 O
v 49 C
v 50 O
v 51 C
v 52 C
v 53 C
v 54 C
v 55 C
v 56 C
v 57 O
v 58 O
e 0 1 1
e 1 2 2
e 1 3 1
e 2 4 1
e 2 5 1
e 3 6 1
e 3 7 2
e 4 8 2
e 4 9 1
e 5 10 2
e 5 11 1
e 6 12 2
e 7 10 1
e 7 13 1
e 8 14 1
e 8 15 1
e 9 16 2
e 9 17 1
e 10 18 1
e 11 15 2
e 11 19 1
e 12 20 1
e 13 21 1
e 14 17 1
e 15 22 1
e 17 23 1
e 17 24 1
e 20 25 1
e 21 26 2
e 21 27 1
e 24 28 1
e 25 29 1
e 27 30 1
e 27 31 2
e 28 32 2
e 29 33 1
e 31 34 1
e 32 35 1
e 33 36 1
e 34 37 2
e 35 38 1
e 35 39 1
e 36 40 1
e 37 41 1
e 38 42 1
e 39 43 1
e 39 44 1
e 40 45 2
e 41 46 1
e 41 47 1
e 44 48 1
e 44 49 1
e 47 50 1
e 47 51 1
e 48 52 1
e 49 53 1
e 49 54 1
e 51 54 1
e 51 55 1
e 52 56 1
e 52 57 2
e 54 58 1
