t # 265474
v 0 P
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 N
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 C
v 22 C
v 23 C
v 24 O
v 25 C
v 26 O
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
e 0 1 1
e 0 2 1
e 0 3 1
e 0 4 1
e 1 5 1
e 2 6 2
e 2 7 1
e 3 8 2
e 3 9 1
e 4 10 2
e 4 11 1
e 5 12 1
e 6 13 1
e 7 14 2
e 8 15 1
e 9 16 2
e 10 17 1
e 11 18 2
e 12 19 1
e 12 20 1
e 13 21 2
e 14 21 1
e 15 22 2
e 16 22 1
e 17 23 2
e 18 23 1
e 19 24 2
e 19 25 1
e 20 26 2
e 20 27 1
e 25 27 1
e 25 28 2
e 27 29 2
e 28 30 1
e 29 31 1
e 30 31 2
e 30 32 1
