t # 357689
v 0 S
v 1 C
v 2 C
v 3 C
v 4 N
v 5 N
v 6 N
v 7 O
v 8 C
v 9 C
v 10 N
v 11 C
v 12 C
v 13 C
v 14 C
v 15 N
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
e 0 1 1
e 0 2 1
e 1 3 1
e 2 4 1
e 2 5 2
e 3 6 1
e 3 7 2
e 4 8 1
e 4 9 1
e 5 10 1
e 6 11 1
e 6 12 1
e 8 10 2
e 8 13 1
e 9 14 1
e 9 15 2
e 11 16 1
e 12 17 2
e 12 18 1
e 13 19 2
e 13 20 1
e 15 19 1
e 16 21 2
e 16 22 1
e 17 23 1
e 18 24 2
e 19 25 1
e 20 26 2
e 21 27 1
e 22 28 2
e 23 29 2
e 24 29 1
e 25 30 2
e 26 30 1
e 27 31 2
e 28 31 1
