t # 46716
v 0 C
v 1 N
v 2 O
v 3 C
v 4 O
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 O
v 13 C
v 14 N
v 15 O
v 16 C
v 17 C
v 18 C
v 19 O
v 20 C
v 21 C
v 22 C
v 23 C
v 24 O
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
e 0 1 1
e 0 2 2
e 0 3 1
e 1 4 1
e 3 5 1
e 3 6 1
e 4 7 1
e 5 8 1
e 5 9 1
e 6 10 1
e 6 11 1
e 7 12 2
e 7 13 1
e 8 14 1
e 8 15 2
e 9 10 1
e 9 16 1
e 11 16 2
e 13 17 2
e 13 18 1
e 14 19 1
e 17 20 1
e 18 21 2
e 19 22 1
e 20 23 2
e 21 23 1
e 22 24 2
e 22 25 1
e 25 26 2
e 25 27 1
e 26 28 1
e 27 29 2
e 28 30 2
e 29 30 1
