t # 55276
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 O
v 22 C
v 23 O
v 24 C
v 25 Br
v 26 C
v 27 C
v 28 Br
v 29 C
v 30 Br
v 31 C
v 32 O
v 33 Br
v 34 C
v 35 O
e 0 1 1
e 0 2 1
e 0 3 1
e 1 4 1
e 1 5 1
e 2 6 1
e 3 7 2
e 3 8 1
e 4 9 1
e 5 10 2
e 5 11 1
e 7 12 1
e 8 13 2
e 10 14 1
e 11 15 2
e 12 16 1
e 12 17 2
e 13 17 1
e 14 18 1
e 14 19 2
e 15 19 1
e 16 20 1
e 17 21 1
e 18 22 1
e 19 23 1
e 20 24 1
e 20 25 1
e 21 26 1
e 22 27 1
e 22 28 1
e 23 29 1
e 24 30 1
e 26 31 1
e 26 32 2
e 27 33 1
e 29 34 1
e 29 35 2
