t # 614936
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 O
v 20 C
v 21 C
v 22 O
v 23 C
v 24 C
v 25 C
v 26 N
v 27 C
v 28 O
v 29 N
v 30 C
v 31 C
v 32 C
v 33 N
v 34 C
v 35 O
v 36 C
v 37 C
v 38 C
v 39 C
v 40 C
v 41 C
v 42 O
e 0 1 1
e 0 5 2
e 1 2 2
e 2 3 1
e 3 4 2
e 3 18 1
e 4 5 1
e 6 7 1
e 6 11 2
e 6 18 1
e 7 8 2
e 8 9 1
e 9 10 2
e 10 11 1
e 12 13 1
e 12 17 2
e 12 18 1
e 13 14 2
e 14 15 1
e 15 16 2
e 16 17 1
e 18 19 1
e 19 20 1
e 20 21 1
e 21 22 1
e 21 25 1
e 22 23 1
e 23 24 1
e 23 26 1
e 24 25 1
e 25 42 1
e 26 27 1
e 26 32 1
e 27 28 2
e 27 29 1
e 29 30 2
e 30 31 1
e 30 33 1
e 31 32 2
e 33 34 1
e 34 35 2
e 34 36 1
e 36 37 1
e 36 41 2
e 37 38 2
e 38 39 1
e 39 40 2
e 40 41 1
