t # 626853
v 0 O
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 N
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 S
v 14 Ni
v 15 N
v 16 C
v 17 C
v 18 S
v 19 C
v 20 C
v 21 O
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 O
v 31 O
v 32 C
e 0 1 1
e 0 4 1
e 1 2 2
e 2 3 1
e 3 4 2
e 4 29 1
e 5 6 2
e 5 29 1
e 6 7 1
e 6 14 1
e 7 8 2
e 7 12 1
e 8 9 1
e 9 10 2
e 10 11 1
e 11 12 2
e 12 13 1
e 14 15 1
e 14 30 1
e 14 31 1
e 15 16 1
e 15 19 2
e 16 17 2
e 16 26 1
e 17 18 1
e 17 23 1
e 19 32 1
e 20 21 1
e 20 28 2
e 20 32 1
e 21 22 1
e 22 27 2
e 23 24 2
e 24 25 1
e 25 26 2
e 27 28 1
e 29 30 2
e 31 32 2
