t # 633629
v 0 B
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 Cr
v 20 C
v 21 O
v 22 C
v 23 O
v 24 C
v 25 O
v 26 C
v 27 O
v 28 C
v 29 O
v 30 N
v 31 C
v 32 N
v 33 C
v 34 C
v 35 C
v 36 C
e 0 2 1
e 0 7 1
e 0 17 1
e 0 28 1
e 0 31 1
e 1 2 2
e 1 6 1
e 2 3 1
e 3 4 2
e 4 5 1
e 5 6 2
e 7 8 1
e 7 12 2
e 8 9 2
e 9 10 1
e 10 11 2
e 11 12 1
e 13 14 2
e 13 18 1
e 14 15 1
e 15 16 2
e 16 17 1
e 17 18 2
e 19 20 1
e 19 22 1
e 19 24 1
e 19 26 1
e 19 28 1
e 19 30 1
e 20 21 3
e 22 23 3
e 24 25 3
e 26 27 3
e 28 29 2
e 30 31 3
e 32 33 1
e 32 34 1
e 32 35 1
e 32 36 1
