t # 634285
v 0 Sn
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 Si
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 O
v 21 C
v 22 O
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
e 0 1 1
e 0 7 1
e 0 8 1
e 0 23 1
e 1 2 1
e 2 3 1
e 3 9 1
e 4 5 1
e 5 6 1
e 6 8 1
e 7 10 2
e 7 14 1
e 10 11 1
e 11 12 1
e 11 13 1
e 11 28 1
e 14 15 1
e 14 19 2
e 15 16 2
e 16 17 1
e 17 18 2
e 17 20 1
e 18 19 1
e 18 22 1
e 20 21 1
e 21 22 1
e 23 24 1
e 24 25 1
e 25 26 1
e 27 28 2
e 27 32 1
e 28 29 1
e 29 30 2
e 30 31 1
e 31 32 2
