t # 645271
v 0 C
v 1 C
v 2 C
v 3 C
v 4 O
v 5 C
v 6 C
v 7 C
v 8 C
v 9 O
v 10 C
v 11 O
v 12 C
v 13 C
v 14 O
v 15 C
v 16 O
v 17 C
v 18 O
v 19 C
v 20 O
v 21 C
v 22 O
v 23 O
v 24 O
v 25 C
v 26 O
v 27 C
v 28 C
v 29 C
v 30 C
v 31 O
v 32 C
v 33 O
v 34 C
e 0 1 1
e 0 5 2
e 1 2 1
e 1 6 1
e 2 3 1
e 2 8 1
e 3 4 1
e 3 9 1
e 4 5 1
e 6 7 1
e 6 24 1
e 7 8 1
e 7 23 1
e 8 21 1
e 8 23 1
e 9 10 1
e 10 11 1
e 10 15 1
e 11 12 1
e 12 13 1
e 12 19 1
e 13 14 1
e 15 16 1
e 15 17 1
e 17 18 1
e 17 19 1
e 19 20 1
e 21 22 1
e 24 25 1
e 25 26 2
e 25 27 1
e 27 28 1
e 27 34 2
e 28 29 2
e 29 30 1
e 30 31 1
e 30 32 2
e 32 33 1
e 32 34 1
