t # 647420
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 O
v 8 C
v 9 C
v 10 O
v 11 O
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 N
v 22 N
v 23 C
v 24 S
v 25 N
v 26 C
v 27 C
v 28 N
v 29 C
v 30 C
v 31 C
v 32 C
v 33 Cl
e 0 1 1
e 0 5 2
e 1 2 1
e 2 3 1
e 3 4 1
e 4 5 1
e 4 11 1
e 5 6 1
e 6 7 1
e 6 8 2
e 8 9 1
e 8 12 1
e 9 10 2
e 9 11 1
e 12 13 1
e 12 19 1
e 13 14 1
e 13 18 2
e 14 15 2
e 15 16 1
e 16 17 2
e 17 18 1
e 19 20 1
e 20 21 2
e 20 26 1
e 21 22 1
e 22 23 1
e 23 24 2
e 23 25 1
e 26 27 1
e 27 28 1
e 28 29 1
e 28 32 1
e 29 30 1
e 30 31 1
e 31 32 1
