t # 653319
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 O
v 9 C
v 10 C
v 11 N
v 12 C
v 13 C
v 14 N
v 15 C
v 16 N
v 17 C
v 18 O
v 19 O
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
v 33 C
v 34 C
v 35 C
e 0 1 1
e 0 5 2
e 1 2 2
e 1 6 1
e 2 3 1
e 3 4 2
e 4 5 1
e 4 7 1
e 7 8 2
e 7 9 1
e 9 10 2
e 10 11 1
e 10 15 1
e 11 12 1
e 12 13 2
e 12 21 1
e 13 14 1
e 13 17 1
e 14 15 2
e 15 16 1
e 16 35 1
e 17 18 2
e 17 19 1
e 19 20 1
e 20 21 2
e 20 25 1
e 21 22 1
e 22 23 2
e 23 24 1
e 24 25 2
e 26 27 1
e 26 31 1
e 27 28 1
e 27 29 1
e 28 33 1
e 29 35 1
e 30 31 1
e 30 35 1
e 31 32 1
e 32 33 1
e 33 34 1
e 34 35 1
