t # 657487
v 0 S
v 1 O
v 2 N
v 3 C
v 4 C
v 5 C
v 6 O
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 O
v 14 C
v 15 C
v 16 O
v 17 C
v 18 C
v 19 O
v 20 O
v 21 C
v 22 C
v 23 C
v 24 C
v 25 O
v 26 C
v 27 C
v 28 C
v 29 C
e 0 1 2
e 0 2 1
e 0 6 2
e 0 27 1
e 2 3 1
e 3 4 1
e 3 7 2
e 4 5 2
e 5 9 1
e 7 8 1
e 8 9 2
e 8 10 1
e 11 12 1
e 11 20 1
e 11 26 2
e 12 13 1
e 12 29 2
e 13 14 1
e 14 15 1
e 15 16 1
e 16 17 1
e 17 18 1
e 18 19 1
e 19 24 1
e 20 21 1
e 21 22 1
e 22 25 1
e 23 24 1
e 23 25 1
e 26 27 1
e 27 28 2
e 28 29 1
