t # 665491
v 0 C
v 1 C
v 2 O
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 O
v 11 C
v 12 O
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 O
v 20 C
v 21 O
v 22 C
v 23 C
v 24 O
v 25 C
v 26 O
v 27 C
v 28 O
e 0 1 1
e 0 5 1
e 0 9 2
e 1 2 1
e 1 6 2
e 2 3 1
e 3 4 1
e 3 25 1
e 3 26 1
e 4 5 1
e 4 23 1
e 5 13 1
e 6 7 1
e 7 8 2
e 7 10 1
e 8 9 1
e 8 12 1
e 10 11 1
e 11 12 1
e 13 14 1
e 13 18 2
e 14 15 2
e 14 19 1
e 15 16 1
e 16 17 2
e 16 21 1
e 17 18 1
e 19 20 1
e 21 22 1
e 23 24 1
e 23 28 2
e 24 25 1
e 26 27 1
