t # 667547
v 0 C
v 1 C
v 2 O
v 3 C
v 4 C
v 5 C
v 6 O
v 7 C
v 8 O
v 9 O
v 10 O
v 11 N
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 S
v 18 C
v 19 N
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 O
v 32 C
v 33 C
v 34 C
v 35 C
v 36 C
v 37 C
v 38 C
e 0 1 1
e 0 5 1
e 0 6 1
e 1 2 1
e 1 7 1
e 2 3 1
e 3 4 1
e 3 11 1
e 4 5 1
e 4 10 1
e 5 9 1
e 7 8 1
e 11 12 1
e 11 16 1
e 12 13 2
e 12 37 1
e 13 14 1
e 13 30 1
e 14 15 2
e 14 20 1
e 15 16 1
e 15 18 1
e 16 17 2
e 18 19 3
e 20 21 1
e 20 25 2
e 21 22 2
e 21 29 1
e 22 23 1
e 22 26 1
e 23 24 2
e 24 25 1
e 26 27 2
e 27 28 1
e 28 29 2
e 30 31 2
e 30 32 1
e 33 34 2
e 33 38 1
e 34 35 1
e 35 36 2
e 36 37 1
e 37 38 2
