t # 673122
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 N
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 N
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 N
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 N
v 28 C
v 29 C
v 30 O
v 31 O
v 32 C
v 33 O
v 34 O
v 35 C
v 36 O
v 37 O
v 38 O
v 39 O
v 40 C
v 41 O
v 42 O
v 43 C
v 44 O
v 45 O
e 0 1 1
e 0 5 2
e 0 30 1
e 1 2 2
e 2 3 1
e 2 39 1
e 3 4 2
e 4 5 1
e 4 32 1
e 5 6 1
e 6 13 2
e 7 8 2
e 7 12 1
e 8 9 1
e 9 10 2
e 9 13 1
e 10 11 1
e 10 40 1
e 11 12 2
e 12 28 1
e 14 15 2
e 14 19 1
e 14 38 1
e 15 16 1
e 16 17 2
e 16 31 1
e 17 18 1
e 18 19 2
e 18 43 1
e 19 20 1
e 20 27 2
e 21 22 2
e 21 26 1
e 22 23 1
e 23 24 2
e 23 27 1
e 24 25 1
e 24 35 1
e 25 26 2
e 26 29 1
e 28 29 2
e 32 33 2
e 32 34 1
e 35 36 2
e 35 37 1
e 40 41 2
e 40 42 1
e 43 44 2
e 43 45 1
