t # 677706
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 O
v 7 C
v 8 N
v 9 N
v 10 C
v 11 S
v 12 Cu
v 13 O
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 O
v 22 C
v 23 N
v 24 N
v 25 C
v 26 S
v 27 Cu
v 28 O
v 29 C
v 30 N
v 31 C
v 32 C
v 33 C
v 34 C
v 35 N
v 36 C
v 37 C
v 38 C
v 39 C
e 0 1 1
e 0 5 2
e 1 2 2
e 1 7 1
e 2 3 1
e 2 6 1
e 3 4 2
e 4 5 1
e 5 13 1
e 6 12 1
e 6 27 1
e 7 8 2
e 8 9 1
e 8 12 1
e 9 10 1
e 10 11 2
e 10 35 1
e 11 12 1
e 12 21 1
e 13 14 1
e 15 16 2
e 15 20 1
e 16 17 1
e 16 22 1
e 17 18 2
e 17 21 1
e 18 19 1
e 19 20 2
e 20 28 1
e 21 27 1
e 22 23 2
e 23 24 1
e 23 27 1
e 24 25 1
e 25 26 2
e 25 30 1
e 26 27 1
e 28 29 1
e 30 31 1
e 30 33 1
e 31 32 1
e 33 34 1
e 35 36 1
e 35 38 1
e 36 37 1
e 38 39 1
