t # 679218
v 0 C
v 1 O
v 2 C
v 3 C
v 4 C
v 5 C
v 6 O
v 7 O
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 N
v 15 C
v 16 N
v 17 C
v 18 O
v 19 C
v 20 N
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 O
v 28 O
v 29 C
e 0 1 1
e 0 5 1
e 0 20 1
e 1 2 1
e 2 3 1
e 3 4 1
e 3 7 1
e 4 5 1
e 4 27 1
e 5 6 1
e 8 9 1
e 8 13 2
e 8 20 1
e 9 10 2
e 10 11 1
e 11 12 2
e 11 14 1
e 12 13 1
e 12 17 1
e 14 15 2
e 15 16 1
e 15 19 1
e 16 17 1
e 16 21 1
e 17 18 2
e 21 22 1
e 21 26 2
e 22 23 2
e 23 24 1
e 24 25 2
e 24 28 1
e 25 26 1
e 28 29 1
