t # 681132
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 O
v 16 C
v 17 C
v 18 O
v 19 N
v 20 C
v 21 C
v 22 O
v 23 C
v 24 C
v 25 N
v 26 C
v 27 C
v 28 O
v 29 C
v 30 C
v 31 Cl
e 0 1 1
e 0 5 2
e 1 2 2
e 2 3 1
e 2 16 1
e 3 4 2
e 4 5 1
e 6 7 2
e 6 11 1
e 7 8 1
e 7 14 1
e 8 9 2
e 8 15 1
e 9 10 1
e 9 13 1
e 10 11 2
e 11 12 1
e 12 17 1
e 12 18 2
e 13 19 1
e 14 25 1
e 16 17 2
e 19 20 1
e 19 24 1
e 20 21 1
e 21 22 1
e 22 23 1
e 23 24 1
e 25 26 1
e 25 30 1
e 26 27 1
e 27 28 1
e 28 29 1
e 29 30 1
