t # 685009
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 C
v 11 C
v 12 O
v 13 O
v 14 N
v 15 O
v 16 C
v 17 O
v 18 C
v 19 C
v 20 C
v 21 C
v 22 C
v 23 Si
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
e 0 1 1
e 0 7 2
e 0 14 1
e 1 2 1
e 1 4 2
e 2 3 2
e 2 11 1
e 3 8 1
e 3 14 1
e 4 5 1
e 4 15 1
e 5 6 2
e 5 12 1
e 6 7 1
e 6 19 1
e 7 13 1
e 8 9 2
e 9 10 1
e 10 11 2
e 12 20 1
e 13 23 1
e 15 16 1
e 16 17 2
e 16 18 1
e 20 21 1
e 20 22 1
e 23 24 1
e 23 27 1
e 23 30 1
e 24 25 1
e 24 26 1
e 27 28 1
e 27 29 1
e 30 31 1
e 30 32 1
