t # 687782
v 0 C
v 1 C
v 2 N
v 3 C
v 4 N
v 5 C
v 6 C
v 7 C
v 8 C
v 9 C
v 10 S
v 11 S
v 12 O
v 13 O
v 14 O
v 15 N
v 16 N
v 17 O
v 18 C
v 19 C
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 O
v 32 C
v 33 C
v 34 O
v 35 C
v 36 C
v 37 O
e 0 1 1
e 0 5 1
e 0 6 2
e 1 2 1
e 1 9 2
e 2 3 2
e 3 4 1
e 3 36 1
e 4 5 1
e 4 16 1
e 5 37 2
e 6 7 1
e 7 8 2
e 7 10 1
e 8 9 1
e 10 13 2
e 10 14 2
e 10 15 1
e 11 12 2
e 11 16 1
e 11 17 2
e 11 24 1
e 15 18 1
e 18 19 1
e 18 23 2
e 19 20 2
e 20 21 1
e 21 22 2
e 22 23 1
e 23 33 1
e 24 25 1
e 24 29 2
e 25 26 2
e 26 27 1
e 27 28 2
e 28 29 1
e 29 30 1
e 30 31 2
e 30 32 1
e 33 34 2
e 33 35 1
