t # 687866
v 0 C
v 1 C
v 2 C
v 3 C
v 4 C
v 5 C
v 6 N
v 7 C
v 8 C
v 9 C
v 10 C
v 11 O
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 N
v 19 C
v 20 N
v 21 S
v 22 N
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 Cl
e 0 1 1
e 0 5 2
e 1 2 2
e 2 3 1
e 3 4 2
e 3 6 1
e 4 5 1
e 4 9 1
e 6 7 2
e 7 8 1
e 7 12 1
e 8 9 2
e 9 10 1
e 10 11 2
e 10 18 1
e 12 13 1
e 12 17 2
e 13 14 2
e 14 15 1
e 15 16 2
e 16 17 1
e 18 20 1
e 19 20 1
e 19 21 2
e 19 22 1
e 22 23 1
e 23 24 1
e 23 28 2
e 24 25 2
e 25 26 1
e 26 27 2
e 26 29 1
e 27 28 1
