t # 688996
v 0 C
v 1 C
v 2 C
v 3 O
v 4 O
v 5 S
v 6 O
v 7 C
v 8 P
v 9 O
v 10 C
v 11 C
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 C
v 20 C
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 C
v 28 C
v 29 C
v 30 C
v 31 C
v 32 C
v 33 C
v 34 C
v 35 C
v 36 C
v 37 C
v 38 C
v 39 C
v 40 C
v 41 C
v 42 C
v 43 C
v 44 C
e 0 1 1
e 0 2 1
e 0 3 1
e 1 4 1
e 2 9 1
e 3 8 1
e 4 26 1
e 5 8 2
e 6 7 1
e 6 8 1
e 9 10 1
e 10 11 1
e 11 12 1
e 12 13 1
e 13 14 1
e 14 15 1
e 15 16 1
e 16 17 1
e 17 18 1
e 18 19 1
e 19 20 1
e 20 21 1
e 21 22 1
e 22 23 1
e 23 24 1
e 24 25 1
e 26 27 1
e 26 33 1
e 26 39 1
e 27 28 1
e 27 32 2
e 28 29 2
e 29 30 1
e 30 31 2
e 31 32 1
e 33 34 1
e 33 38 2
e 34 35 2
e 35 36 1
e 36 37 2
e 37 38 1
e 39 40 1
e 39 44 2
e 40 41 2
e 41 42 1
e 42 43 2
e 43 44 1
