t # 706090
v 0 C
v 1 C
v 2 N
v 3 C
v 4 C
v 5 C
v 6 O
v 7 C
v 8 C
v 9 C
v 10 O
v 11 Si
v 12 C
v 13 C
v 14 C
v 15 C
v 16 C
v 17 C
v 18 C
v 19 O
v 20 Si
v 21 C
v 22 C
v 23 C
v 24 C
v 25 C
v 26 C
v 27 O
v 28 O
v 29 C
v 30 C
v 31 O
v 32 C
v 33 N
v 34 O
v 35 N
v 36 O
e 0 1 2
e 0 4 1
e 0 32 1
e 1 2 1
e 2 3 1
e 2 5 1
e 3 27 2
e 3 33 1
e 4 28 2
e 4 33 1
e 5 6 1
e 5 9 1
e 6 7 1
e 7 8 1
e 7 18 1
e 8 9 1
e 8 29 1
e 8 31 1
e 9 10 1
e 10 11 1
e 11 12 1
e 11 16 1
e 11 17 1
e 12 13 1
e 12 14 1
e 12 15 1
e 18 19 1
e 19 20 1
e 20 21 1
e 20 25 1
e 20 26 1
e 21 22 1
e 21 23 1
e 21 24 1
e 29 30 1
e 29 31 1
e 30 34 2
e 30 35 1
e 35 36 1
